,filename,#epoch,#iter,L1 norm of errors(log) on nodes,L2 norm of errors(log) on nodes,planning time,execution time,n_joins
0,11d.sql,1,predicting,15.895096391908504,78.66640351538642,35.985,1498.814,7.0
1,11d.sql,1,learning,15.895096391908504,78.66640351538642,31.274,4966.052,7.0
2,26c.sql,1,predicting,40.57800720758898,424.9302184461801,9396.259,27093.179,11.0
3,26c.sql,1,learning,40.57800720758898,424.9302184461801,10006.981,37937.53,11.0
4,33a.sql,1,predicting,98.8139529065294,970.6884306794348,11576.015,647989.98,13.0
5,33a.sql,1,learning,98.8139529065294,970.6884306794348,11491.918,687771.872,13.0
6,6f.sql,1,predicting,39.3358536885369,511.71106907067553,52.265,9347.332,4.0
7,6f.sql,1,learning,39.3358536885369,511.71106907067553,44.48,22911.34,4.0
8,1a.sql,1,predicting,14.05361444333811,62.74981698198383,51.939,385.574,4.0
9,1a.sql,1,learning,14.05361444333811,62.74981698198383,55.569,20832.092,4.0
10,17c.sql,1,predicting,54.03541353368743,770.6253468283702,129.212,70282.408,6.0
11,17c.sql,1,learning,54.03541353368743,770.6253468283702,123.535,103121.715,6.0
12,8b.sql,1,predicting,21.3329294783282,108.17686193350742,149.065,2479.262,6.0
13,8b.sql,1,learning,21.3329294783282,108.17686193350742,142.571,42033.019,6.0
14,2b.sql,1,predicting,26.51507374703857,235.57784759000813,59.844,873.713,4.0
15,2b.sql,1,learning,26.51507374703857,235.57784759000813,57.528,31470.134,4.0
16,30c.sql,1,predicting,26.320399603928305,229.26404827170003,13526.199,8334.319,11.0
17,30c.sql,1,learning,26.320399603928305,229.26404827170003,13524.538,84981.833,11.0
18,9d.sql,1,predicting,76.7893495840766,977.9083633169396,296.572,9653.817,7.0
19,9d.sql,1,learning,76.7893495840766,977.9083633169396,283.757,63207.674,7.0
20,32a.sql,1,predicting,10.746844825964033,110.14579498735456,92.541,839.201,5.0
21,32a.sql,1,learning,10.746844825964033,110.14579498735456,99.973,842.736,5.0
22,12a.sql,1,predicting,15.748701592385949,84.29272778010039,255.292,2978.775,7.0
23,12a.sql,1,learning,15.748701592385949,84.29272778010039,248.437,58056.735,7.0
24,2d.sql,1,predicting,14.761614209683549,162.1073330445864,62.534,15755.789,4.0
25,2d.sql,1,learning,14.761614209683549,162.1073330445864,56.665,49196.686,4.0
26,31a.sql,1,predicting,21.85510445836996,160.82365893630003,1424.275,5671.42,10.0
27,31a.sql,1,learning,21.85510445836996,160.82365893630003,1432.495,84587.741,10.0
28,17f.sql,1,predicting,35.58315911804501,515.860419015545,163.946,597748.834,6.0
29,17f.sql,1,learning,35.58315911804501,515.860419015545,160.042,655211.852,6.0
30,4b.sql,1,predicting,11.2336581117007,49.61746481099751,66.536,461.18,4.0
31,4b.sql,1,learning,11.2336581117007,49.61746481099751,66.198,35339.298,4.0
32,33c.sql,1,predicting,18.269036221311257,82.55351775818582,18061.623,644.95,13.0
33,33c.sql,1,learning,18.269036221311257,82.55351775818582,18046.572,106620.631,13.0
34,22b.sql,1,predicting,10.357687463234075,48.68272078638305,1232.1,2389.66,10.0
35,22b.sql,1,learning,10.357687463234075,48.68272078638305,1221.46,86863.096,10.0
36,33b.sql,1,predicting,inf,inf,inf,inf,inf
37,33b.sql,1,learning,inf,inf,inf,inf,inf
38,17d.sql,1,predicting,5.108433798320208,18.7381810732078,179.199,5852.789,6.0
39,17d.sql,1,learning,5.108433798320208,18.7381810732078,179.926,58838.338,6.0
40,28c.sql,1,predicting,49.72423006855182,504.025337645034,19724.601,5757.314,13.0
41,28c.sql,1,learning,49.72423006855182,504.025337645034,19765.164,119740.2,13.0
42,20c.sql,1,predicting,34.91406612434425,317.2455868409069,737.611,7161.299,9.0
43,20c.sql,1,learning,34.91406612434425,317.2455868409069,739.919,89442.493,9.0
44,6a.sql,1,predicting,16.712030175764813,87.81758355208603,76.341,2743.429,4.0
45,6a.sql,1,learning,16.712030175764813,87.81758355208603,72.053,42342.404,4.0
46,27c.sql,1,predicting,inf,inf,inf,inf,inf
47,27c.sql,1,learning,55.95891551241379,516.4156947694098,17531.425,1563867.266,11.0
48,11b.sql,1,predicting,10.199554374522302,28.63727475254702,393.921,9825.641,7.0
49,11b.sql,1,learning,10.333085767146825,28.989671752986503,393.921,78569.311,7.0
50,9b.sql,1,predicting,35.202791427042776,269.33788591575563,456.839,2383.41,7.0
51,9b.sql,1,learning,35.202791427042776,269.33788591575563,456.476,72054.172,7.0
52,29b.sql,1,predicting,10.797496457121552,33.844577105501514,28267.634,5002.135,16.0
53,29b.sql,1,learning,10.797496457121552,33.844577105501514,28184.24,162640.355,16.0
54,19d.sql,1,predicting,54.852152359604254,746.9956914489986,1197.55,18121.815,9.0
55,19d.sql,1,learning,54.852152359604254,746.9956914489986,1203.597,114407.488,9.0
56,7c.sql,1,predicting,inf,inf,inf,inf,inf
57,7c.sql,1,learning,inf,inf,inf,inf,inf
58,19c.sql,1,predicting,32.55761040643889,294.6660781023256,1503.843,6045.892,9.0
59,19c.sql,1,learning,32.55761040643889,294.6660781023256,1496.153,103157.31,9.0
60,18a.sql,1,predicting,12.731001228507091,90.271487065907,277.804,5231.206,6.0
61,18a.sql,1,learning,12.731001228507091,90.271487065907,279.644,72054.935,6.0
62,3c.sql,1,predicting,16.384410712439237,132.04528011816376,80.416,2313.065,3.0
63,3c.sql,1,learning,16.384410712439237,132.04528011816376,69.39,38554.463,3.0
64,8c.sql,1,predicting,27.22369397118037,356.08773540167647,295.046,15636.615,6.0
65,8c.sql,1,learning,27.22369397118037,356.08773540167647,292.459,83861.867,6.0
66,14c.sql,1,predicting,34.88376149675621,251.1077057864591,426.127,7286.704,7.0
67,14c.sql,1,learning,34.88376149675621,251.1077057864591,430.813,85726.293,7.0
68,30b.sql,1,predicting,4.771715560065696,8.828544732334807,26290.671,4992.808,11.0
69,30b.sql,1,learning,4.771715560065696,8.828544732334807,26255.411,126961.004,11.0
70,13d.sql,1,predicting,68.70542996366677,856.4793424533899,693.946,10508.388,8.0
71,13d.sql,1,learning,68.70542996366677,856.4793424533899,688.74,101784.208,8.0
72,1b.sql,1,predicting,22.51252762332801,239.6684455161009,116.84,732.977,4.0
73,1b.sql,1,learning,22.51252762332801,239.6684455161009,115.045,49417.87,4.0
74,19a.sql,1,predicting,12.308665620977,47.20354536352398,1613.27,4265.315,9.0
75,19a.sql,1,learning,12.308665620977,47.20354536352398,1583.899,107918.008,9.0
76,7a.sql,1,predicting,13.499026941535549,67.79434233345346,469.262,3861.889,7.0
77,7a.sql,1,learning,13.499026941535549,67.79434233345346,470.932,87618.832,7.0
78,18c.sql,1,predicting,16.781840363863388,137.00341110911256,310.751,4179.992,6.0
79,18c.sql,1,learning,16.781840363863388,137.00341110911256,323.395,77163.586,6.0
80,24a.sql,1,predicting,25.8206704419092,215.5419887113568,27773.406,5788.146,11.0
81,24a.sql,1,learning,25.8206704419092,215.5419887113568,27732.538,136411.075,11.0
82,16c.sql,1,predicting,58.662718313342296,858.8562414727968,504.928,56736.491,7.0
83,16c.sql,1,learning,58.662718313342296,858.8562414727968,502.58,143122.131,7.0
84,16a.sql,1,predicting,5.350083323697759,20.93475950039297,510.758,69305.774,7.0
85,16a.sql,1,learning,5.350083323697759,20.93475950039297,506.608,157747.291,7.0
86,23b.sql,1,predicting,23.56083327593528,121.40142053651115,2282.595,102664.187,10.0
87,23b.sql,1,learning,23.56083327593528,121.40142053651115,2261.925,226693.791,10.0
88,20a.sql,1,predicting,24.531628823299563,183.49556253487992,1264.197,11820.65,9.0
89,20a.sql,1,learning,24.531628823299563,183.49556253487992,1257.133,123407.351,9.0
90,13c.sql,1,predicting,29.84907718498148,155.1417696668694,777.446,2262.773,8.0
91,13c.sql,1,learning,29.84907718498148,155.1417696668694,781.391,103892.954,8.0
92,25a.sql,1,predicting,25.885417553759765,223.03796043030843,929.75,4134.558,8.0
93,25a.sql,1,learning,25.885417553759765,223.03796043030843,922.073,106651.659,8.0
94,5a.sql,1,predicting,11.195181466144504,31.822557611873656,134.344,1827.879,4.0
95,5a.sql,1,learning,11.195181466144504,31.822557611873656,132.695,56712.407,4.0
96,9c.sql,1,predicting,11.55860836790974,47.60468322838977,634.153,6773.832,7.0
97,9c.sql,1,learning,11.55860836790974,47.60468322838977,615.821,98342.62,7.0
98,5c.sql,1,predicting,13.232583975116304,69.56883313681446,131.383,2103.383,4.0
99,5c.sql,1,learning,13.232583975116304,69.56883313681446,125.772,57019.43,4.0
100,18b.sql,1,predicting,8.869724770377683,23.78768303760597,335.482,3340.813,6.0
101,18b.sql,1,learning,8.869724770377683,23.78768303760597,342.163,82671.732,6.0
102,19b.sql,1,predicting,1.235029518502457,0.627831763703911,1795.285,3222.306,9.0
103,19b.sql,1,learning,1.235029518502457,0.627831763703911,1787.584,119639.73,9.0
104,31b.sql,1,predicting,13.037478291289316,41.527283062896856,2898.426,4194.338,10.0
105,31b.sql,1,learning,13.037478291289316,41.527283062896856,2907.458,133326.728,10.0
106,22c.sql,1,predicting,38.44075433016278,372.136723814194,2387.419,11419.946,10.0
107,22c.sql,1,learning,38.44075433016278,372.136723814194,2398.123,141637.264,10.0
108,12b.sql,1,predicting,2.5483971123973577,3.945776447323429,553.65,1844.546,7.0
109,12b.sql,1,learning,2.5483971123973577,3.945776447323429,564.631,95132.421,7.0
110,5b.sql,1,predicting,20.52632919499869,178.28973829303766,134.714,177.741,4.0
111,5b.sql,1,learning,20.52632919499869,178.28973829303766,130.741,176.815,4.0
112,21c.sql,1,predicting,inf,inf,inf,inf,inf
113,21c.sql,1,learning,inf,inf,inf,inf,inf
114,17a.sql,1,predicting,18.547281501984507,167.92994360738007,346.078,6795.404,6.0
115,17a.sql,1,learning,18.547281501984507,167.92994360738007,351.032,87960.285,6.0
116,16d.sql,1,predicting,13.255232405506415,82.18471855377848,561.142,4534.176,7.0
117,16d.sql,1,learning,13.255232405506415,82.18471855377848,561.697,98306.287,7.0
118,28b.sql,1,predicting,42.39165759015721,346.6523979045224,36807.407,23760.73,13.0
119,28b.sql,1,learning,42.39165759015721,346.6523979045224,36803.651,193700.832,13.0
120,6e.sql,1,predicting,4.301083517093908,7.155810226271849,134.72,2760.147,4.0
121,6e.sql,1,learning,4.301083517093908,7.155810226271849,131.95,59745.585,4.0
122,26a.sql,1,predicting,67.83400346231804,803.2306965668829,31078.804,47368.366,11.0
